Team,History,Cycle,DirAdv,CorpAdv,Support,FailedVisits,Training,ManagBudget,WebDev,BacklogOrders,RandD,Price,AssemblyTime,MarketShares_p,MarketShares_c,MeanPrice,NumOrders,NumSales_p
Banana,1,6,6.0,19.6,5.0,0.20000000000000284,5.0,125000.0,10.0,67,1.84,920.0,385.0,4.3,5.7,851.3675213675212,152,85
Batmaja,1,6,5.0,29.6,10.0,0.09999999999999432,3.0,128333.33333333333,25.0,10,1.81,930.0,360.0,9.2,8.0,910.3789473684211,196,186
Batmaja,1,6,13.0,108.6,20.0,0.09999999999999432,39.0,333333.3333333333,25.0,0,1.77,801.0,320.0,10.3,14.6,875.8424242424244,409,214
EnactusUEP,1,6,10.0,19.6,10.0,0.09999999999999432,1.0,128333.33333333333,25.0,0,1.78,880.0,330.0,7.6,4.2,859.3975903614457,228,162
MBC,1,6,5.0,24.6,9.0,0.09999999999999432,4.0,128333.33333333333,25.0,0,1.81,845.0,355.0,0.0,0.0,861.25,238,173
Mezzafive,1,6,13.0,29.6,11.0,0.0,0.0,146666.66666666666,20.0,8,1.78,885.0,325.0,9.0,8.1,910.3789473684211,246,182
Mezzafive,1,6,7.0,25.6,12.0,0.7999999999999972,4.0,166666.66666666666,17.0,0,1.78,879.0,326.0,0.0,0.0,857.0,228,180
Najda,1,6,10.0,47.6,20.0,0.09999999999999432,65.0,213333.3333333333,35.0,0,1.79,855.0,340.0,0.0,0.0,861.75,296,215
Rosyjski1,1,6,13.0,108.6,20.0,0.09999999999999432,42.0,283333.3333333333,25.0,10,1.78,785.0,325.0,9.8,13.4,818.8369781312126,425,207
SGGW,1,6,10.0,24.6,14.0,0.09999999999999432,3.0,116666.66666666666,28.0,81,1.79,825.0,335.0,5.7,0.0,860.7930327868852,253,115
UniversalSolutions,1,6,20.0,34.6,15.0,0.0,3.0,145000.0,30.0,17,1.8,880.0,335.0,9.9,9.1,866.5770171149145,262,193
UniversalSolutions,1,6,11.0,24.6,12.0,0.0,5.0,122000.0,15.0,22,1.79,865.0,335.0,0.0,0.0,890.1428571428571,231,155
Wilki,1,6,8.0,19.6,9.0,0.29999999999999716,1.0,116666.66666666666,16.0,51,1.78,866.0,330.0,0.0,0.0,846.75,200,100
X03,1,6,9.0,54.6,20.0,0.09999999999999432,37.0,213333.3333333333,25.0,9,1.76,798.0,310.0,0.0,10.7,861.75,326,165
X04,1,6,15.0,54.6,20.0,0.09999999999999432,37.0,213333.3333333333,25.0,1,1.76,798.0,310.0,0.0,0.0,821.625,319,165
X05,1,6,15.0,54.6,20.0,0.09999999999999432,47.0,213333.3333333333,25.0,0,1.81,790.0,360.0,0.0,0.0,836.8,288,99
Zwolińsk,1,6,5.0,19.6,11.0,0.09999999999999432,0.0,116666.66666666666,17.0,70,1.78,820.0,325.0,5.0,4.3,849.6737288135593,225,101
Banana,1,7,8.0,21.759999999999998,6.0,0.09999999999999432,6.0,128333.33333333333,12.0,9,2.56,920.0,415.0,5.7,7.9,859.1898734177215,189,143
Batmaja,1,7,5.0,37.76,11.0,0.09999999999999432,3.0,136666.66666666666,25.0,22,2.46,850.0,309.0,8.0,11.1,897.2151639344263,268,174
Batmaja,1,7,22.0,164.16,20.0,0.20000000000000284,38.0,333333.3333333333,25.0,42,2.76,805.0,313.0,14.6,15.8,889.0514579759864,425,367
EnactusUEP,1,7,30.0,21.759999999999998,8.0,0.09999999999999432,0.0,136666.66666666666,25.0,129,1.91,880.0,330.0,4.2,5.3,841.7424242424241,276,99
MBC,1,7,5.0,34.76,9.0,0.09999999999999432,6.0,136666.66666666666,30.0,0,1.56,850.0,355.0,0.0,0.0,870.625,246,238
Mezzafive,1,7,7.0,31.36,12.0,0.09999999999999432,6.0,166666.66666666666,17.0,0,2.78,885.0,326.0,0.0,0.0,871.0,238,228
Najda,1,7,11.0,88.56,25.0,0.20000000000000284,48.0,240000.0,30.0,0,2.77,860.0,321.0,0.0,0.0,847.5,303,296
Rosyjski1,1,7,22.0,164.16,20.0,0.09999999999999432,42.0,283333.3333333333,25.0,77,2.78,800.0,325.0,13.4,13.5,823.7512690355329,454,348
SGGW,1,7,10.0,30.759999999999998,14.0,0.09999999999999432,3.0,116666.66666666666,28.0,46,1.79,825.0,335.0,0.0,0.0,857.0,253,207
UniversalSolutions,1,7,15.0,45.76,15.0,0.0,9.0,150000.0,25.0,112,2.5,940.0,335.0,9.1,11.8,894.6778711484593,260,150
Wilki,1,7,8.0,22.759999999999998,9.0,0.5999999999999943,1.0,116666.66666666666,11.0,4,2.48,866.0,331.0,0.0,0.0,847.5,208,196
X03,1,7,17.0,77.75999999999999,22.0,0.09999999999999432,38.0,233333.3333333333,25.0,6,2.77,799.0,320.0,10.7,0.0,837.7448071216617,352,320
X04,1,7,17.0,77.75999999999999,22.0,0.09999999999999432,38.0,233333.3333333333,25.0,0,2.77,785.0,320.0,0.0,0.0,795.875,333,319
X05,1,7,17.0,77.75999999999999,22.0,0.09999999999999432,47.0,240000.0,25.0,0,2.81,785.0,360.0,0.0,0.0,809.0,327,288
Zwolińsk,1,7,5.0,21.759999999999998,11.0,0.09999999999999432,0.0,116666.66666666666,17.0,129,1.53,820.0,325.0,4.3,4.5,846.660606060606,204,96
Banana,1,8,14.0,26.055999999999997,8.0,0.20000000000000284,7.0,133333.3333333333,12.0,11,2.54,920.0,390.0,7.9,0.0,884.8509212730318,229,178
Batmaja,1,8,20.0,158.49599999999998,20.0,0.09999999999999432,37.0,333333.3333333333,25.0,0,2.78,871.0,325.0,15.8,13.3,845.4588744588743,399,425
EnactusUEP,1,8,28.0,33.056,21.0,0.09999999999999432,20.0,155000.0,30.0,157,1.7,772.0,350.0,5.3,10.7,601.4906621392191,410,119
